user,location,geoLocation,tweet,timeStamp,replies,retweets,favorites,url
@Cec_Monture97,6ix Nations,,This week better go by fast #ChristmasBreak,6:11 PM - 14 Dec 2015,0,7,22,https://www.twitter.com/Cec_Monture97/status/676585443421392897
@kenzietrumm,"Boscobel, WI",,This week of school better fly by! #christmasbreak #hurrryup,3:43 PM - 15 Dec 2013,0,13,9,https://www.twitter.com/kenzietrumm/status/412367227585691648
@__JDunham,,,Hahaha Tonight was mad real #SacvengerHunt #CHRISTMASBREAK,10:21 PM - 19 Dec 2012,0,4,3,https://www.twitter.com/__JDunham/status/281645590855688194
@keepinglifesane,NC,,You're going to need something to do when those kids get out of of school in a few days!  Pick up this gingerbread house so they'll have something to do when they get bored! #ad http://amzn.to/2iTO6HT  #Christmas #ChristmasBreak #BoredKids #ChristmasActivity #gingerbreadhousepic.twitter.com/POqlUbONbH,5:48 AM - 12 Dec 2017,0,35,4,https://www.twitter.com/keepinglifesane/status/940579008403640320
@txamiu,"Laredo, Texas",,Safe travels. See you next year. RT @LovelyClarissaa: Off to Carrizo for a month! Bye TAMIU! :) #ChristmasBreak,9:39 AM - 12 Dec 2012,0,1,2,https://www.twitter.com/txamiu/status/278916983725121536
@almoff12,"Chapel Hill, NC",,"1 down, 4 to go.  #christmasbreak",12:02 PM - 16 Dec 2013,0,3,8,https://www.twitter.com/almoff12/status/412674186344427520
@J_jefferson91,"Clinton, NY/Wasaga Beach, ON",,See ya in 2 weeks #ChristmasBreak,12:44 PM - 19 Dec 2013,2,2,6,https://www.twitter.com/J_jefferson91/status/413771941787353088
@MonyVallez,"Missouri, USA",,not having to worry about any study/homework on a sunday >> #christmasbreak,8:37 AM - 16 Dec 2012,0,2,3,https://www.twitter.com/MonyVallez/status/280350859030822912
@Tahhleaa,,,The fact that I don't have to think about school for 3 weeks is completely fantastic #iloveit #christmasbreak,10:51 AM - 13 Dec 2013,0,1,2,https://www.twitter.com/Tahhleaa/status/411569084845674496
@Emmy_Collier,,,hot chocolate >>> #lifeisgood #christmasbreak @kaylahuskey08pic.twitter.com/AbjHn73h,10:23 AM - 20 Dec 2012,0,1,2,https://www.twitter.com/Emmy_Collier/status/281827133125443584
@seth_dahlke,"Omaha, NE",,all i feel like doing is sleeping #christmasbreak,11:22 AM - 18 Dec 2012,0,3,2,https://www.twitter.com/seth_dahlke/status/281117284947357696
@PaigeInTheBookk,somewhere smiling,,My perfect best frans #ocharleys #yum #luvthem #heart #christmasbreak #abby #brittany #leslie #girlspic.twitter.com/cvIOeY1w0D,11:27 AM - 30 Dec 2013,0,1,9,https://www.twitter.com/PaigeInTheBookk/status/417738610343825408
@clairedonahue,,,I can never stop swimming. When I don't have a coach I am so lazy! #ChristmasBreak,5:08 AM - 27 Dec 2016,0,4,16,https://www.twitter.com/clairedonahue/status/813733415610675204
@ShitXgirlsSay,"Antigonish, Nova Scotia",,"A moment of silence for those who still have one last exam to write tomorrow

...and back to drinking! #christmasbreak #ShitXgirlsSay",8:48 PM - 14 Dec 2012,0,7,8,https://www.twitter.com/ShitXgirlsSay/status/279810127568183296
@kyjost,"Kansas, USA",,15 days--we got this....right? #christmasbreak,7:17 PM - 1 Dec 2013,0,5,12,https://www.twitter.com/kyjost/status/407347810896338944
@ChristineDobbyn,"Houston, Texas","Texas, USA",Many families watching #whale nercropsy @GalvestonCom #ChristmasBreak @abc13houston @IlonaOnTV @ErikOnTV #HouNewspic.twitter.com/xOBhp9YA3l,12:24 PM - 23 Dec 2015,1,5,8,https://www.twitter.com/ChristineDobbyn/status/679759414786572288
@lborohockey,Loughborough University,,"After today's victory the 1s go into their Christmas break sitting second in the ladder, having only lost one game and conceded the least number of goals in the @EnglandHockey Men's National League #defence #Christmasbreak @LboroAU @LboroSportpic.twitter.com/OpCDTR5wbK",12:53 PM - 26 Nov 2017,1,4,24,https://www.twitter.com/lborohockey/status/934887751643746304
@_Jessssicaaaa,,,On the bright side tomorrow is my last day of school  #ChristmasBreak,11:15 PM - 19 Dec 2012,0,3,3,https://www.twitter.com/_Jessssicaaaa/status/281659110271877120
@Austin_Kemper,Cincinnati,,Next time I'll be in school it'll be 2014 #Christmasbreak,9:07 AM - 19 Dec 2013,0,2,5,https://www.twitter.com/Austin_Kemper/status/413717115724521472
@Smith_Robert10,,,We doin it BIG tonight!! #ChristmasBreak #2013,6:13 PM - 21 Dec 2012,0,1,2,https://www.twitter.com/Smith_Robert10/status/282307837948993536
@suter2014,"Athens, OH",,When the cops show up at the scavenger hunt because of naked miles and streaking .. #BestEver #CHRISTMASBREAK,9:38 PM - 19 Dec 2012,0,4,4,https://www.twitter.com/suter2014/status/281634558481403904
@LAmustangGBB,"Nashville, Tenn.",,Merry Christmas from the Lady Mustangs and the Cheer Squad. The Lady Stangs go into break with a win against Clarksville Christian 49-38. #LadyStangs #ChristmasBreak #gfgblupic.twitter.com/cPfZqAtzzJ,1:03 PM - 15 Dec 2018,0,6,20,https://www.twitter.com/LAmustangGBB/status/1074047237477597184
@Daybird14,,,The last 3 days of school are gonna feel like 3 months #christmasbreak,6:22 PM - 16 Dec 2014,0,2,7,https://www.twitter.com/Daybird14/status/545041261321658368
@Julie_Deer3,,,A MONTH AND A HALF LEFT  #christmasbreak,8:44 AM - 1 Nov 2013,0,2,7,https://www.twitter.com/Julie_Deer3/status/396301841299820544
@a_zills,In the Aeroplane Over the Sea,,6 and a half more days of hell people! #ChristmasBreak,8:47 PM - 10 Dec 2013,0,2,3,https://www.twitter.com/a_zills/status/410632024161275904
@r2mullins,,,"Good luck to this gem on finals this week, you've got this @temullins815 #hurryhome #christmasbreak #snugglebuddypic.twitter.com/S32NKsngvV",8:11 AM - 9 Dec 2013,1,1,5,https://www.twitter.com/r2mullins/status/410079311169724416
@megs_the_shit,Ky/Tx/Nc,,One more week...I hope I can make it. #ChristmasBreak,7:41 PM - 15 Dec 2013,0,11,4,https://www.twitter.com/megs_the_shit/status/412427270922731520
@lexykays,"Dallas, TX",,Officially done with my first semester of college!!! #christmasbreak #tonightsgunnabecray,8:46 AM - 13 Dec 2012,1,1,2,https://www.twitter.com/lexykays/status/279266020676481025
@AlecPender25,Little Rock,,Time to reunite with the high school crew #christmasbreak #besttimes,4:23 PM - 12 Dec 2012,0,1,3,https://www.twitter.com/AlecPender25/status/279018710243631104
@KelseaBallerini,"Nashville, TN",,"I'm not gonna lie to you,  it's noon and I still haven't gotten out of bed. #christmasbreak #lazymorning #yesplease",9:54 AM - 21 Dec 2014,5,4,36,https://www.twitter.com/KelseaBallerini/status/546725518058725378
@bryce_culp,"Orlando, FL",,I'm praying this week goes super fast  #christmasbreak,7:00 PM - 15 Dec 2013,0,10,9,https://www.twitter.com/bryce_culp/status/412416919137161217
@lydcantrell,you're the only ten I see,,Come on everyone. We can do this. This is the last Monday we'll have for a while. #CHRISTMASBREAKpic.twitter.com/n6dvatAJ,3:46 AM - 17 Dec 2012,0,12,3,https://www.twitter.com/lydcantrell/status/280639980190187520
@Prettyclipsgb,"England, United Kingdom",,Etsy Store Is Now Closed Reopens On The 8th Of January... #Etsy #smallbiz #gifts #Christmas #handmade #ChristmasBreakpic.twitter.com/vq0VZk7Ahy,10:34 PM - 15 Dec 2016,0,17,18,https://www.twitter.com/Prettyclipsgb/status/809647898103316480
@ryleest_onge,,,"Four more days left, i can do it #christmasbreak",4:10 PM - 15 Dec 2013,0,10,7,https://www.twitter.com/ryleest_onge/status/412374013768658944
@GCHSPirates,"Greensburg, IN",,Our students have the Christmas spirit!  #lastdayoffinals #christmasbreak @Drew_MC1948pic.twitter.com/17KXUC9K3X,4:44 AM - 20 Dec 2018,0,8,32,https://www.twitter.com/GCHSPirates/status/1075733768332304385
@justin_g13,,,Dangg....can't wait for finals week to be over!! #ChristmasBreak #HurryUp,5:53 PM - 17 Dec 2012,0,2,3,https://www.twitter.com/justin_g13/status/280853365804646400
@rocketlionuk,"London, England",,THESE COOKIES THOUGH  #reindeer #christmascookies #christmas2016 #christmasgift #Christmas #christmasbreak http://HugoSophia.com  pic.twitter.com/i1WArg8LQ8,7:24 AM - 17 Dec 2016,0,5,18,https://www.twitter.com/rocketlionuk/status/810143589405556736
@Pooja_Joseph,"Bangalore, India",,The Good Life :) #christmasbreak #home #kerala @huftindia @BarknBond @themagwithawagpic.twitter.com/liQkharRE9,11:33 PM - 22 Dec 2014,0,3,3,https://www.twitter.com/Pooja_Joseph/status/547293788943568896
@HoustonBaptistU,"Houston, Texas",,Just a reminder to students: you can check your grades on HuskyNet on Dec 21st. How are you enjoying your vacation so far? #christmasbreak,10:05 AM - 19 Dec 2012,0,9,1,https://www.twitter.com/HoustonBaptistU/status/281460339349004288
@SalMirando,"Staten Island, NY",,Please God make these 4 days go by quickly #Impatient #ChristmasBreak ,3:27 AM - 18 Dec 2012,0,9,3,https://www.twitter.com/SalMirando/status/280997754933755907
@emcookk,,,So... Cougars tonight? #christmasbreak #wheremypartypeopleat,9:16 AM - 14 Dec 2012,0,1,2,https://www.twitter.com/emcookk/status/279636013872197632
@ToriChristian23,"Decatur, IL","Illinois, USA",I seriously love that I can watch do whatever I want and not worry about being swamped with homework later  #christmasbreak,9:08 PM - 12 Dec 2013,0,3,6,https://www.twitter.com/ToriChristian23/status/411361962182709248
@ChadChoateEJ,"Bradenton, Florida",,Ugly Sweater day! @MattKissell23 thanks for letting me borrow this ugly sweater. #ChristmasBreakpic.twitter.com/aMZfVUOXa6,4:36 AM - 18 Dec 2015,0,3,14,https://www.twitter.com/ChadChoateEJ/status/677829862065905664
@VeronicaDLCruz,San Francisco,"Calistoga, CA",Getaway to one of my favorite places in #NorthernCalifornia #Christmasbreak #holidaze2018 #xmas #vacayvibes #randr #happyholidays  @ A Little Piece Of Hot Springs https://www.instagram.com/p/BruANlFgTjL/?utm_source=ig_twitter_share&igshid=1itb30mczwhy3 …,9:53 PM - 22 Dec 2018,3,4,21,https://www.twitter.com/VeronicaDLCruz/status/1076717476660965376
@Jakehogan_2,Gville IA,,So sick of school #christmasbreak,10:34 AM - 6 Dec 2013,0,9,4,https://www.twitter.com/Jakehogan_2/status/409028062840242176
@EauPleineVintge,Wisconsin,,On your #Christmasbreak use this #Leafdish for your #holidayseason #Foodporn &  enjoy the #Fun https://www.etsy.com/listing/272430298/monkey-pod-wood-dark-color-leaf-shaped?ref=shop_home_active_6 … #alexpals #giftforherpic.twitter.com/YBWmRFzh9Y,5:25 PM - 30 Nov 2016,0,14,10,https://www.twitter.com/EauPleineVintge/status/804134386564218882
@sav_rizor,,,"If i do well on finals, good for me. If I don't, who cares. #overit #christmasbreak",5:18 PM - 18 Dec 2013,3,7,9,https://www.twitter.com/sav_rizor/status/413478467917713409
@abcox21,,,Can this week just get over with already..? #Christmasbreak,4:21 PM - 17 Dec 2014,1,1,16,https://www.twitter.com/abcox21/status/545373306723893248
@MrsAshDone,"Whitehaven, Memphis","Memphis, TN",3 weeks then out again!!! #ChristmasBreak,10:00 AM - 26 Nov 2019,0,0,0,https://www.twitter.com/MrsAshDone/status/1199387574688735239
@ORUConfessions,"Tulsa, OK",,"I missed having a DVR, strong Wifi, free laundry, real food, no community meeting and no curfew! @ORUConfessions #christmasbreak",10:19 PM - 30 Dec 2013,1,0,1,https://www.twitter.com/ORUConfessions/status/417902925348749312
@bwooooben,,,Tomorrow at 3:25 I will be the happiest girl in the world! #christmasbreak #FINALLY,4:12 PM - 19 Dec 2012,0,2,3,https://www.twitter.com/bwooooben/status/281552609905623040
@Fregona13,"Mississauga, Ont / Durham, NH",,"Worst part about this weather, is it means no pond hockey #christmasbreak #brrp",11:05 AM - 26 Dec 2014,0,1,5,https://www.twitter.com/Fregona13/status/548555283161964545
@Megan_N_Taylor,"Covington, IN",Target,Go back to school from #ChristmasBreak in style! #catandjack #target #TargetStyle #vmtlpic.twitter.com/p1UCKYXzVg,9:34 AM - 30 Dec 2016,0,3,12,https://www.twitter.com/Megan_N_Taylor/status/814887430574796800
@Manny13R,,,Time to enjoy life #christmasbreak,8:46 AM - 19 Dec 2013,0,1,4,https://www.twitter.com/Manny13R/status/413711982534348800
@joshbmcc,"Orlando, FL",,This time next week I will still be sleeping! #christmasbreak #5moredays,4:41 AM - 17 Dec 2012,0,2,3,https://www.twitter.com/joshbmcc/status/280653843329609728
@JUSPRA1,Anywhere you want me to be.,,"#BlackFriday #CyberMonday #ChristmasCountDown #ChristmasPresents #ChristmasMood #ChristmasReading #HolidayRomance #ChristmasBreak #TisTheSeason
#ChristmasShopping #HolidaySavings #ChristmasGiftIdeas #StockingStuffer #WishList #KindleUnlimited #kindledeals #Retweeet #TrendingNowpic.twitter.com/M6xlPmLMCZ",3:28 AM - 22 Nov 2019,0,2,2,https://www.twitter.com/JUSPRA1/status/1197839230434791424
@Steven_Nydam,,,This is going to be the longest week of our lives... #christmasbreak,3:58 AM - 16 Dec 2013,0,3,2,https://www.twitter.com/Steven_Nydam/status/412552282966740992
@jevansradio,near a lacroix,,"I'm just going to buy cookie dough and eat my feelings now.

#christmasbreak #happiness #sadness #glasscaseofemotion",8:21 AM - 13 Dec 2013,2,1,3,https://www.twitter.com/jevansradio/status/411531234175483904
@buymeA_LEXUS,"Philadelphia, PA",,So excited to sleep in tomorrow and the next day and the next day and the next...#christmasbreak #bestever,9:12 PM - 21 Dec 2012,0,2,6,https://www.twitter.com/buymeA_LEXUS/status/282353009311227904
@bartkennedy2_,,,"I'm ready for some Christmas music, some cookies, some fuckin presents, and shit man. #ChristmasBreak",8:32 PM - 17 Dec 2013,0,1,4,https://www.twitter.com/bartkennedy2_/status/413164769424588800
@BonjourItsAmy,SEMO,,Two. More. Days. #christmasbreak,6:44 PM - 18 Dec 2013,0,3,6,https://www.twitter.com/BonjourItsAmy/status/413500126905106432
@jessinelson92,"Birmingham, AL",,If this week could just go really fast that'd be great. #ChristmasBreak,8:01 PM - 8 Dec 2013,0,2,3,https://www.twitter.com/jessinelson92/status/409895525240934400
@AaronFrana,"Phoenix, AZ",,Hiking Camelback Mountain to start the morning! #christmasbreakpic.twitter.com/PBocm92ImN,10:12 AM - 19 Dec 2016,1,0,43,https://www.twitter.com/AaronFrana/status/810910760964497408
@bigbroupdates21,Lipton tea factory,,#ChristmasBreak is the best hashtag BB has ever had #bb19 @CBSBigBrother,6:24 PM - 6 Jul 2017,0,11,51,https://www.twitter.com/bigbroupdates21/status/883134470701928448
@claire_kuhlman,"Columbia, MO",,Seriously can not wait for this week to be over.. #ChristmasBreak ,7:53 PM - 16 Dec 2012,0,3,2,https://www.twitter.com/claire_kuhlman/status/280521141892820992
